15 | [ 3, 2, 2, 2 ]
21 | [ 5, 19, 7, 227 ]
33 | [ 3, 5, 41, 193 ]
35 | [ 29, 47, 31, 433 ]
39 | [ 29, 43, 71, 457 ]
51 | [ 23, 199, 29, 29 ]
55 | [ 113, 79, 197, 53 ]
57 | [ 197, 373, 7, 43 ]
65 | [ 23, 67, 241, 67 ]
69 | [ 3, 41, 107, 257 ]
77 | [ 19, 139, 13, 761 ]
85 | [ 19, 13, 7, 431 ]
87 | [ 43, 181, 19, 953 ]
91 | [ 17, 107, 43, 1093 ]
93 | [ 107, 23, 263, 641 ]
95 | [ 229, 59, 103, 1151 ]
111 | [ 19, 179, 67, 577 ]
115 | [ 79, 107, 113, 2437 ]
119 | [ 373, 41, 29, 4751 ]
123 | [ 13, 5, 19, 263 ]
129 | [ 73, 257, 137, 293 ]
133 | [ 53, 401, 43, 137 ]
141 | [ 157, 547, 13, 13 ]
143 | [ 17, 353, 19, 1423 ]
145 | [ 1399, 163, 101, 967 ]
155 | [ 1091, 233, 29, 317 ]
159 | [ 31, 199, 37, 1237 ]
161 | [ 113, 397, 19, 19 ]
177 | [ 373, 103, 73, 719 ]
183 | [ 751, 367, 53, 11 ]
185 | [ 293, 31, 3, 31 ]
187 | [ 1399, 347, 103, 2081 ]
201 | [ 127, 73, 5, 1543 ]
203 | [ 1493, 421, 19, 691 ]
205 | [ 227, 1553, 29, 157 ]
209 | [ 257, 173, 47, 47 ]
213 | [ 43, 1553, 101, 2207 ]
215 | [ 271, 179, 23, 7043 ]
217 | [ 17, 577, 67, 3433 ]
219 | [ 173, 29, 13, 2699 ]
221 | [ 449, 719, 193, 193 ]
235 | [ 907, 59, 107, 4831 ]
237 | [ 311, 101, 107, 1217 ]
247 | [ 761, 1993, 191, 857 ]
249 | [ 307, 37, 541, 877 ]
253 | [ 1319, 431, 397, 431 ]
259 | [ 349, 1033, 23, 3527 ]
265 | [ 257, 1301, 61, 3067 ]
267 | [ 919, 1229, 281, 281 ]
287 | [ 73, 1009, 53, 2969 ]
291 | [ 367, 149, 199, 1091 ]
295 | [ 307, 367, 71, 7151 ]
299 | [ 19, 503, 157, 401 ]
301 | [ 311, 1129, 229, 2087 ]
303 | [ 19, 317, 17, 4519 ]
305 | [ 181, 1301, 79, 89 ]
309 | [ 101, 1571, 89, 1109 ]
319 | [ 1009, 643, 19, 1873 ]
321 | [ 401, 509, 47, 3079 ]
323 | [ 127, 1163, 179, 4261 ]
327 | [ 379, 211, 13, 673 ]
329 | [ 337, 1091, 41, 3407 ]
335 | [ 53, 2861, 83, 1949 ]
339 | [ 193, 1847, 29, 1009 ]
341 | [ 61, 53, 83, 1861 ]
355 | [ 47, 383, 109, 587 ]
365 | [ 229, 647, 241, 647 ]
371 | [ 269, 479, 149, 11467 ]
377 | [ 313, 223, 241, 1427 ]
381 | [ 5, 109, 53, 139 ]
391 | [ 31, 269, 499, 4349 ]
393 | [ 3, 367, 109, 10531 ]
395 | [ 947, 439, 61, 971 ]
403 | [ 2969, 1021, 167, 4523 ]
407 | [ 211, 1069, 353, 4733 ]
411 | [ 157, 89, 211, 2677 ]
413 | [ 3083, 541, 499, 5023 ]
